Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
4,113,DET,Derrick Barnes,DE,22,2023,0,0,0,5,5,36,0,0,0,0,0,0,0,0,0,0,0,81,,4.0,Purdue,College Stats,BarnDe02
4,114,ATL,Drew Dalman,C,22,2023,0,0,1,8,8,37,0,0,0,0,0,0,0,0,0,0,0,1,,,Stanford,College Stats,DalmDr00
4,115,DAL,Jabril Cox,LB,23,2022,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,5,,,LSU,College Stats,CoxxJa00
4,116,NYG,Elerson Smith,DL,23,2022,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,3,,,Northern Iowa,,SmitEl00
4,117,LAR,Bobby Brown,DL,21,2023,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,6,,,Texas A&M,College Stats,BrowBo04
4,118,LAC,Chris Rumph,DE,22,2023,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,15,,3.0,Duke,College Stats,RumpCh00
4,119,MIN,Kene Nwangwu,RB,23,2022,0,0,0,3,3,28,0,0,0,0,0,22,75,0,6,30,0,3,,,Iowa St.,College Stats,NwanKe00
4,120,NWE,Rhamondre Stevenson,RB,23,2023,0,0,0,14,14,32,0,0,0,0,0,389,1780,11,93,621,1,3,,,Oklahoma,College Stats,StevRh00
4,121,JAX,Jordan Smith,OLB,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Ala-Birmingham,College Stats,SmitJo03
4,122,CIN,Tyler Shelvin,DT,23,2022,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,LSU,College Stats,ShelTy00
4,123,PHI,Zech McPhearson,DB,23,2022,0,0,0,2,2,33,0,0,0,0,0,0,0,0,0,0,0,19,,1.0,Texas Tech,College Stats,McPhZe00
4,124,WAS,John Bates,TE,23,2023,0,0,0,3,3,36,0,0,0,0,0,0,0,0,39,415,2,2,,,Boise St.,College Stats,BateJo00
4,125,MIN,Camryn Bynum,CB,23,2023,0,0,1,8,8,34,0,0,0,0,0,0,0,0,0,0,0,85,3,1.0,California,College Stats,BynuCa00
