Rnd,Pick,Tm,Player,ID,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTkl,Int,Sk,College/Univ,Year
1,1,HOU,Jadeveon Clowney,ClowJa00,DE,21,2018,0,3,4,38,38,62,0,0,0,0,0,0,0,0,0,0,0,151,,29.0,South Carolina,2014
1,2,STL,Greg Robinson,RobiGr01,T,21,2018,0,0,4,21,15,68,0,0,0,0,0,0,0,0,0,0,0,2,,,Auburn,2014
1,3,JAX,Blake Bortles,BortBl00,QB,22,2018,0,0,5,44,44,75,1561,2632,17646,103,75,281,1775,8,1,20,1,2,,,Central Florida,2014
1,4,BUF,Sammy Watkins,WatkSa00,WR,21,2018,0,0,5,30,20,62,0,0,0,0,0,8,61,0,232,3571,28,3,,,Clemson,2014
1,5,OAK,Khalil Mack,MackKh00,LB,23,2018,3,4,5,60,43,78,0,0,0,0,0,0,0,0,0,0,0,268,2,53.0,Buffalo,2014
1,6,ATL,Jake Matthews,MattJa00,T,22,2018,0,1,5,46,46,79,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas A&M,2014
1,7,TAM,Mike Evans,EvanMi00,WR,21,2018,0,2,5,42,42,77,0,0,0,0,0,0,0,0,395,6103,40,4,,,Texas A&M,2014
1,8,CLE,Justin Gilbert,GilbJu00,DB,22,2016,0,0,0,4,3,35,0,0,0,0,0,0,0,0,0,0,0,30,1,,Oklahoma St.,2014
1,9,MIN,Anthony Barr,BarrAn00,LB,22,2018,0,4,5,42,42,71,0,0,0,0,0,0,0,0,0,0,0,237,1,13.5,UCLA,2014
1,10,DET,Eric Ebron,EbroEr00,TE,21,2018,0,1,3,22,15,72,0,1,0,0,0,4,-7,2,252,2820,24,,,,North Carolina,2014
1,11,TEN,Taylor Lewan,LewaTa00,T,23,2018,0,3,4,38,38,73,0,0,0,0,0,0,0,0,1,10,1,,,,Michigan,2014
1,12,NYG,Odell Beckham,BeckOd00,WR,21,2018,0,3,4,42,42,59,2,3,106,2,0,15,74,0,390,5476,44,3,,,LSU,2014
1,13,STL,Aaron Donald,DonaAa00,DT,23,2018,4,5,5,69,69,78,0,0,0,0,0,0,0,0,0,0,0,189,,59.5,Pittsburgh,2014
1,14,CHI,Kyle Fuller,FullKy00,DB,22,2018,1,1,4,30,30,64,0,0,0,0,0,0,0,0,0,0,0,201,15,,Virginia Tech,2014
1,15,PIT,Ryan Shazier,ShazRy00,LB,22,2017,0,2,3,27,27,46,0,0,0,0,0,0,0,0,0,0,0,205,7,7.0,Ohio St.,2014
1,16,DAL,Zack Martin,MartZa00,G,23,2018,3,5,5,54,54,78,0,0,0,0,0,0,0,0,0,0,0,1,,,Notre Dame,2014
1,17,BAL,C.J. Mosley,MoslC.00,LB,22,2018,0,4,5,59,59,77,0,0,0,0,0,0,0,0,0,0,0,398,9,8.5,Alabama,2014
1,18,NYJ,Calvin Pryor,PryoCa00,DB,22,2017,0,0,3,14,14,46,0,0,0,0,0,0,0,0,0,0,0,129,2,0.5,Louisville,2014
1,19,MIA,Ja'Wuan James,JameJa01,T,22,2018,0,0,4,28,28,62,0,0,0,0,0,0,0,0,0,0,0,1,,,Tennessee,2014
1,20,NOR,Brandin Cooks,CookBr00,WR,20,2018,0,0,4,47,22,74,0,0,0,0,0,40,229,2,360,5147,32,2,,,Oregon St.,2014
1,21,GNB,Ha Ha Clinton-Dix,ClinHa00,DB,21,2018,0,1,5,28,25,80,0,0,0,0,0,0,0,0,0,0,0,363,14,5.5,Alabama,2014
1,22,CLE,Johnny Manziel,ManzJo00,QB,21,2015,0,0,0,5,5,15,147,258,1675,7,7,46,259,1,0,0,0,,,,Texas A&M,2014
1,23,KAN,Dee Ford,FordDe00,LB,23,2018,0,1,2,22,22,67,0,0,0,0,0,0,0,0,0,0,0,102,,30.5,Auburn,2014
1,24,CIN,Darqueze Dennard,DennDa00,DB,22,2018,0,0,0,10,10,68,0,0,0,0,0,0,0,0,0,0,0,169,3,3.0,Michigan St.,2014
1,25,SDG,Jason Verrett,VerrJa00,DB,23,2017,0,1,1,12,12,25,0,0,0,0,0,0,0,0,0,0,0,72,5,,TCU,2014
1,26,PHI,Marcus Smith,SmitMa03,LB,22,2018,0,0,0,3,2,53,0,0,0,0,0,0,0,0,0,0,0,20,,6.5,Louisville,2014
1,27,ARI,Deone Bucannon,BucaDe00,DB,22,2018,0,0,3,24,24,70,0,0,0,0,0,0,0,0,0,0,0,311,2,7.0,Washington St.,2014
1,28,CAR,Kelvin Benjamin,BenjKe00,WR,23,2018,0,0,4,22,18,61,0,0,0,0,0,0,0,0,209,3021,20,2,,,Florida St.,2014
1,29,NWE,Dominique Easley,EaslDo00,DT,22,2018,0,0,0,7,4,41,0,0,0,0,0,0,0,0,0,0,0,43,1,6.5,Florida,2014
1,30,SFO,Jimmie Ward,WardJi01,DB,23,2018,0,0,1,10,10,51,0,0,0,0,0,0,0,0,0,0,0,153,2,2.0,Northern Illinois,2014
1,31,DEN,Bradley Roby,RobyBr00,DB,22,2018,0,0,1,16,16,79,0,0,0,0,0,0,0,0,0,0,0,213,7,3.0,Ohio St.,2014
1,32,MIN,Teddy Bridgewater,BridTe00,QB,21,2018,0,1,2,22,22,35,565,874,6268,29,23,105,403,4,0,0,0,1,,,Louisville,2014
2,33,HOU,Xavier Su'a-Filo,Sua-Xa00,G,23,2018,0,0,3,20,17,64,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,2014
2,34,DAL,Demarcus Lawrence,LawrDe00,DE,22,2018,0,2,3,33,33,64,0,0,0,0,0,0,0,0,0,0,0,129,1,34.0,Boise St.,2014
2,35,CLE,Joel Bitonio,BitoJo00,G,22,2018,0,1,4,26,26,63,0,0,0,0,0,0,0,0,0,0,0,2,,,Nevada,2014
2,36,OAK,Derek Carr,CarrDe02,QB,23,2018,0,3,5,46,46,78,1759,2800,18739,122,54,148,413,1,1,-9,0,1,,,Fresno St.,2014
2,37,ATL,Ra'Shede Hageman,HageRa00,DT,24,2016,0,0,1,8,8,44,0,0,0,0,0,0,0,0,0,0,0,40,,4.0,Minnesota,2014
2,38,TAM,Austin Seferian-Jenkins,SefeAu00,TE,21,2018,0,0,2,9,5,43,0,0,0,0,0,0,0,0,116,1160,11,1,,,Washington,2014
2,39,JAX,Marqise Lee,LeexMa00,WR,22,2017,0,0,2,17,17,53,1,2,20,1,0,15,99,0,171,2166,8,2,,,USC,2014
2,40,DET,Kyle Van Noy,VanNKy00,LB,23,2018,0,0,2,22,5,66,0,0,0,0,0,0,0,0,0,0,0,154,2,11.0,BYU,2014
2,41,STL,Lamarcus Joyner,JoynLa00,DB,23,2018,0,0,2,17,17,67,0,0,0,0,0,0,0,0,0,0,0,236,4,5.0,Florida St.,2014
2,42,PHI,Jordan Matthews,MattJo00,WR,22,2018,0,0,3,23,21,70,0,0,0,0,0,0,0,0,270,3255,22,,,,Vanderbilt,2014
2,43,NYG,Weston Richburg,RichWe00,OL,23,2018,0,0,4,26,21,66,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado St.,2014
2,44,BUF,Cyrus Kouandjio,KouaCy00,T,21,2018,0,0,0,7,6,30,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,2014
2,45,SEA,Paul Richardson,RichPa01,WR,22,2018,0,0,1,12,11,54,0,0,0,0,0,3,14,0,115,1564,10,1,,,Colorado,2014
2,46,PIT,Stephon Tuitt,TuitSt00,DE,21,2018,0,0,4,28,28,70,0,0,0,0,0,0,0,0,0,0,0,126,1,20.0,Notre Dame,2014
2,47,WAS,Trent Murphy,MurpTr00,LB,23,2018,0,0,3,18,12,60,0,0,0,0,0,0,0,0,0,0,0,75,,19.0,Stanford,2014
2,48,BAL,Timmy Jernigan,JernTi00,DT,21,2018,0,0,3,22,14,61,0,0,0,0,0,0,0,0,0,0,0,65,1,15.5,Florida St.,2014
2,49,NYJ,Jace Amaro,AmarJa00,TE,22,2016,0,0,0,4,3,17,0,0,0,0,0,0,0,0,41,404,2,,,,Texas Tech,2014
2,50,SDG,Jeremiah Attaochu,AttaJe00,LB,21,2018,0,0,1,9,8,49,0,0,0,0,0,0,0,0,0,0,0,69,,12.0,Georgia Tech,2014
2,51,CHI,Ego Ferguson,FergEg00,DT,22,2015,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,13,,2.0,LSU,2014
2,52,ARI,Troy Niklas,NiklTr00,TE,21,2017,0,0,1,1,1,41,0,0,0,0,0,0,0,0,19,203,3,2,,,Notre Dame,2014
2,53,GNB,Davante Adams,AdamDa01,WR,21,2018,0,2,5,34,34,74,0,0,0,0,0,0,0,0,348,4197,39,1,,,Fresno St.,2014
2,54,TEN,Bishop Sankey,SankBi00,RB,21,2015,0,0,1,6,6,29,0,0,0,0,0,199,762,3,32,272,1,1,,,Washington,2014
2,55,CIN,Jeremy Hill,HillJe01,RB,21,2018,0,0,3,21,21,55,0,0,0,0,0,708,2898,29,68,490,1,5,,,LSU,2014
2,56,DEN,Cody Latimer,LatiCo00,WR,21,2018,0,0,0,4,3,51,0,0,0,0,0,2,1,0,46,635,4,,,,Indiana,2014
2,57,SFO,Carlos Hyde,HydeCa00,RB,23,2018,0,0,2,22,19,64,0,0,0,0,0,827,3300,26,119,667,3,,,,Ohio St.,2014
2,58,NOR,Stanley Jean-Baptiste,JeanSt00,DB,24,2017,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,2014
2,59,IND,Jack Mewhort,MewhJa00,T,23,2017,0,0,3,23,23,45,0,0,0,0,0,0,0,0,0,0,0,2,,,Ohio St.,2014
2,60,CAR,Kony Ealy,EalyKo00,DE,22,2018,0,0,1,12,10,65,0,0,0,0,0,0,0,0,0,0,0,54,2,15.0,Missouri,2014
2,61,JAX,Allen Robinson,RobiAl02,WR,21,2018,0,1,4,26,19,56,0,0,0,0,0,1,9,0,257,3602,26,2,,,Penn St.,2014
2,62,NWE,Jimmy Garoppolo,GaroJi00,QB,22,2018,0,0,0,10,3,26,236,361,2968,17,8,48,54,1,2,-3,0,,,,East. Illinois,2014
2,63,MIA,Jarvis Landry,LandJa00,WR,21,2018,0,4,5,36,31,80,2,5,72,0,0,29,179,2,481,5014,26,4,,,LSU,2014
2,64,SEA,Justin Britt,BritJu00,T,23,2018,0,0,5,35,35,79,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,2014
3,65,HOU,C.J. Fiedorowicz,FiedC.00,TE,22,2017,0,0,3,6,6,51,0,0,0,0,0,0,0,0,89,881,6,1,,,Iowa,2014
3,66,WAS,Morgan Moses,MoseMo00,OL,23,2018,0,0,4,33,33,72,0,0,0,0,0,0,0,0,0,0,0,1,,,Virginia,2014
3,67,MIA,Billy Turner,TurnBi00,T,22,2018,0,0,1,11,6,40,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.,2014
3,68,ATL,Dezmen Southward,SoutDe00,DB,23,2017,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,17,1,1.0,Wisconsin,2014
3,69,TAM,Charles Sims,SimsCh00,RB,23,2017,0,0,0,13,13,47,0,0,0,0,0,245,958,2,129,1190,6,1,,,West Virginia,2014
